date,cap_swe,sey_swe
8/18/2019,0,0
8/19/2019,0,0
8/20/2019,0,0
8/21/2019,0,0
8/22/2019,0,0
8/23/2019,0,0
8/24/2019,0,0
8/25/2019,0,0
8/26/2019,0,0
8/27/2019,0,0
8/28/2019,0,0
8/29/2019,0,0
8/30/2019,0,0
8/31/2019,0,0
9/1/2019,0,0
9/2/2019,0,0
9/3/2019,0,0
9/4/2019,0,0
9/5/2019,0,0
9/6/2019,0,0
9/7/2019,0,0
9/8/2019,0,0
9/9/2019,0,0
9/10/2019,0,0
9/11/2019,0,0
9/12/2019,0,0
9/13/2019,0,0
9/14/2019,0,0
9/15/2019,0,0
9/16/2019,0,0
9/17/2019,0,0
9/18/2019,0,0
9/19/2019,0,0
9/20/2019,0,0
9/21/2019,0,0
9/22/2019,0,0
9/23/2019,0,0
9/24/2019,0,0
9/25/2019,0,0
9/26/2019,0,0
9/27/2019,0,0
9/28/2019,0,0
9/29/2019,0,0
9/30/2019,0,0
10/1/2019,0,0
10/2/2019,0,0
10/3/2019,0,0
10/4/2019,0,0
10/5/2019,0,0
10/6/2019,0,0
10/7/2019,0,0
10/8/2019,0,0
10/9/2019,0,0
10/10/2019,0,0
10/11/2019,0,0
10/12/2019,0,0
10/13/2019,0,0
10/14/2019,0,0
10/15/2019,0,0.274761391
10/16/2019,0,0.347039652
10/17/2019,0,0.404103613
10/18/2019,0,0.468930531
10/19/2019,0.585123873,0.579964161
10/20/2019,1.011680508,0.996709633
10/21/2019,1.55443573,1.521210575
10/22/2019,0.957065821,0.94840188
10/23/2019,0.957065821,0.94840188
10/24/2019,0.957065821,0.94840188
10/25/2019,0.957065821,0.950682688
10/26/2019,1.602871323,1.58761301
10/27/2019,1.253552151,1.228038216
10/28/2019,1.271789455,1.245681858
10/29/2019,1.19182806,1.160908127
10/30/2019,0.902451134,0.900094128
10/31/2019,0.673434591,0.700348473
11/1/2019,0.648239183,0.681537342
11/2/2019,0.763641167,0.777243996
11/3/2019,0.899169922,0.904655743
11/4/2019,0.958532906,0.959731483
11/5/2019,0.983211327,0.978077793
11/6/2019,0.868413258,0.872218037
11/7/2019,0.591416931,0.624268389
11/8/2019,0.457430124,0.508643103
11/9/2019,0.529181433,0.569367266
11/10/2019,0.490494919,0.526101494
11/11/2019,0.368404555,0.402576399
11/12/2019,0.39380734,0.41144352
11/13/2019,0.427394772,0.439593601
11/14/2019,0.458089638,0.464610195
11/15/2019,0.490344667,0.489394855
11/16/2019,0.534055042,0.534102106
11/17/2019,0.589718914,0.59247117
11/18/2019,0.622654867,0.615571833
11/19/2019,0.495548701,0.5301018
11/20/2019,0.459712172,0.493756819
11/21/2019,0.473229933,0.508788586
11/22/2019,0.465621471,0.502206087
11/23/2019,0.500602484,0.539526701
11/24/2019,0.544952774,0.588343906
11/25/2019,0.596251488,0.652891874
11/26/2019,0.687120581,0.766735506
11/27/2019,0.76107254,0.867183208
11/28/2019,0.79578352,0.916003704
11/29/2019,0.820838356,0.950084305
11/30/2019,0.815214729,0.952978611
12/1/2019,0.84805603,0.9926898
12/2/2019,1.015867233,1.145188999
12/3/2019,1.163165092,1.298167133
12/4/2019,1.447113037,1.589103222
12/5/2019,1.665355682,1.836841965
12/6/2019,1.575207233,1.788705063
12/7/2019,1.66600399,1.892951393
12/8/2019,1.82827301,2.061288834
12/9/2019,1.754072571,2.003841209
12/10/2019,1.610634041,1.879549026
12/11/2019,1.606251717,1.881144905
12/12/2019,1.757403946,2.035514641
12/13/2019,2.199468613,2.529372978
12/14/2019,2.73631382,3.164587021
12/15/2019,2.966385651,3.470343781
12/16/2019,3.003696251,3.541366577
12/17/2019,3.228690338,3.796497726
12/18/2019,3.814519119,4.437016296
12/19/2019,4.67792244,5.376422501
12/20/2019,5.421843147,6.179588127
12/21/2019,7.075564194,7.997031403
12/22/2019,9.059618378,10.33551331
12/23/2019,9.351496887,10.7973259
12/24/2019,9.345433044,10.83525925
12/25/2019,9.249129486,10.74459152
12/26/2019,9.165208435,10.6633934
12/27/2019,9.066506195,10.55153656
12/28/2019,9.171446991,10.67891846
12/29/2019,9.423453522,11.00193253
12/30/2019,9.995475769,11.54614182
12/31/2019,10.53404388,12.04777222
1/1/2020,11.36007385,12.8954895
1/2/2020,12.4989563,14.12444305
1/3/2020,13.58271027,15.31443176
1/4/2020,14.51745453,16.31708374
1/5/2020,15.72527466,17.62905426
1/6/2020,17.21792297,19.29431
1/7/2020,18.95675812,21.19501038
1/8/2020,20.35093079,22.73675995
1/9/2020,26.59185638,28.30092239
1/10/2020,33.77635193,34.93185425
1/11/2020,34.22966614,35.60587158
1/12/2020,35.4688324,37.10952148
1/13/2020,37.25316162,39.02723999
1/14/2020,38.61144714,40.57926025
1/15/2020,38.54743347,40.90944824
1/16/2020,38.21201782,40.34099426
1/17/2020,38.46369629,40.35302734
1/18/2020,38.85170898,40.49931641
1/19/2020,40.09268799,41.46747437
1/20/2020,42.10133972,43.96647339
1/21/2020,42.90729675,44.82232971
1/22/2020,43.85116882,45.72279358
1/23/2020,46.32202454,47.63536377
1/24/2020,47.99555054,48.99868164
1/25/2020,49.25180969,51.17695618
1/26/2020,50.15812683,53.00332031
1/27/2020,51.2352356,53.90603638
1/28/2020,52.2815918,54.5331543
1/29/2020,53.27214966,55.21560669
1/30/2020,54.51008911,56.19724731
1/31/2020,55.45183105,57.09208984
2/1/2020,53.66469421,57.79219971
2/2/2020,54.0696991,58.35319214
2/3/2020,55.84063721,57.87935181
2/4/2020,55.12518921,57.5366333
2/5/2020,54.30830078,57.20904541
2/6/2020,53.40443115,56.89782104
2/7/2020,53.49829102,57.09785767
2/8/2020,53.83109741,57.31535645
2/9/2020,54.87913208,58.45622559
2/10/2020,55.42854004,59.15621338
2/11/2020,55.05289917,58.85661011
2/12/2020,54.69940186,58.53008423
2/13/2020,55.46018066,59.07634277
2/14/2020,56.77235718,60.04812012
2/15/2020,58.47191772,61.36860352
2/16/2020,60.18701782,62.69161987
2/17/2020,61.06017456,63.5989624
2/18/2020,61.42492676,63.97307739
2/19/2020,61.62752075,64.18538818
2/20/2020,61.73538208,64.31466064
2/21/2020,62.52169189,64.90015869
2/22/2020,57.01305542,63.88449097
2/23/2020,57.6763855,64.07923279
2/24/2020,58.97408447,62.54250488
2/25/2020,60.1324707,63.79590454
2/26/2020,60.80570679,64.54672241
2/27/2020,61.30734863,65.03419189
2/28/2020,61.94054565,65.56323242
2/29/2020,62.77159424,66.2972229
3/1/2020,63.78695068,67.31802368
3/2/2020,64.62193604,68.22923584
3/3/2020,65.00889282,68.6467041
3/4/2020,65.6520874,69.30541382
3/5/2020,66.31739502,69.91274414
3/6/2020,67.22666626,70.68967285
3/7/2020,68.23841553,71.46925659
3/8/2020,68.84744873,72.15275269
3/9/2020,69.09893188,72.78190918
3/10/2020,69.03623047,72.89934692
3/11/2020,69.25905762,73.23594971
3/12/2020,69.55074463,73.64331665
3/13/2020,69.66352539,73.84335327
